Tint	V7-54_200mV
414.72	7.85850043936854e-6
417.28	7.927462073913273e-6
419.84	7.991319735257195e-6
422.40	8.054128702445446e-6
424.96	8.156411585713138e-6
427.52	8.180436282850551e-6
430.08	8.26985228942385e-6
432.64	8.444163438599335e-6
435.2	8.6135535988348e-6
437.76	8.64443935332612e-6
440.32	8.94662112258651e-6
442.88	8.948208113608245e-6
445.44	9.131224905053355e-6
448.	9.2175801114561e-6
450.56	9.294519828611072e-6
453.12	9.481758336698712e-6
455.68	9.691289798347563e-6
458.24	9.715116615071814e-6
460.8	9.72129827635063e-6
463.36	9.727251433187303e-6
465.92	9.818007003007843e-6
468.48	9.889135641365898e-6
471.04	9.807803659444973e-6
473.6	9.675460459901175e-6
476.16	9.47638096884389e-6
478.72	9.392870677037747e-6
481.28	9.457767084371564e-6
483.84	9.486365083048874e-6
486.40	9.538877418229045e-6
488.96	9.652893691646157e-6
491.52	9.680727245408785e-6
494.08	9.713355058314759e-6
496.64	9.745387969017273e-6
499.2	9.755059441700552e-6
501.76	9.669287148262562e-6
504.32	9.751027715636495e-6
506.88	9.666462673709665e-6
509.44	9.66416482567313e-6
512.	9.600094814346595e-6
514.56	9.46777082762592e-6
517.12	9.283741161598353e-6
519.68	9.31506265023364e-6
522.24	9.20334934201191e-6
524.8	9.24317967416456e-6
527.36	9.270711673508852e-6
529.92	8.895196766295342e-6
532.48	8.886515167500824e-6
535.04	8.87634855857595e-6
537.6	8.655172850190034e-6
540.16	8.766063695360142e-6
542.72	8.784941297470346e-6
545.28	8.716080505466765e-6
547.84	8.605941761364644e-6
550.4	8.68913763781475e-6
552.96	8.825463603812675e-6
555.52	8.905014776954486e-6
558.08	9.024579965602583e-6
560.64	9.071860473157887e-6
563.2	9.096909560700026e-6
565.76	9.185767696702205e-6
568.32	9.291581432195011e-6
570.88	9.383407919182548e-6
573.44	9.663599697375255e-6
576.	9.816263910243833e-6
578.56	9.891160372327965e-6
581.12	0.000010091582199481352
583.68	0.00001013794477528195
586.24	0.00001042338894772499
588.8	0.000010436828330484314
591.36	0.000010266135536044925
593.92	0.000010157032777560796
596.48	0.000010254354383491054
599.04	0.000010280595088698794
601.6	0.000010036048943682967
604.16	9.817005689674986e-6
606.72	9.82264138271032e-6
609.28	9.865360057629253e-6
611.84	9.810179203256175e-6
614.4	9.588558515230535e-6
616.96	9.471038990288e-6
619.52	9.612071817367068e-6
622.08	9.662996857428165e-6
624.64	9.732639829175044e-6
627.2	9.641118459782327e-6
629.76	9.628081004136917e-6
632.32	9.550321237180103e-6
634.88	9.498677147664067e-6
637.44	9.482987021210374e-6
640.	9.342967370642417e-6
642.56	9.40298218415602e-6
645.12	9.36527015924023e-6
647.68	9.424756657041305e-6
650.24	9.497757171505749e-6
652.8	9.44297294052861e-6
655.36	9.608396920286847e-6
657.92	9.639607774408895e-6
660.48	9.677567518062925e-6
663.04	9.631899593422773e-6
665.6	9.683021163069119e-6
668.16	9.597212039615116e-6
670.72	9.517478807144487e-6
673.28	9.559771117669196e-6
675.84	9.713804847855563e-6
678.4	9.901461674363482e-6
680.96	0.000010051998638192415
683.52	0.000010152873791307671
686.08	0.000010034706563832457
688.64	9.948893262848664e-6
691.2	0.000010073093083391348
693.76	9.969037220870987e-6
696.32	0.000010114250101273503
698.88	0.000010119684281416863
701.44	0.000010089886368702737
704.	0.000010057176842655419
706.56	0.000010070779557158865
709.12	0.000010038950772975342
711.68	9.974915525122673e-6
714.24	0.000010039059575256813
716.8	9.979841869154708e-6
719.36	0.000010014258421537429
721.92	9.979258133192512e-6
724.48	0.000010034597714352525
727.04	0.00001008107789651263
729.6	0.000010094936939982449
732.16	0.000010207379152140647
734.72	0.000010155347876310729
737.28	0.000010195994333288167
739.84	0.000010167243751927614
742.4	0.000010125583001047944
744.96	0.000010175798740148117
747.52	0.000010285445820835055
750.08	0.000010464699127171415
752.64	0.00001050744091901861
755.2	0.000010551182851015116
757.76	0.000010430931097248968
760.32	0.000010439444378573665
762.88	0.000010398103895529327
765.44	0.000010298004604992388
768.	0.000010329387633780081
770.56	0.0000102512293983589
773.12	0.000010325862245406488
775.68	0.000010275635770544267
778.24	0.000010352062373159165
780.8	0.000010497595542683942
783.36	0.000010533189399860486
785.92	0.000010574449373634333
788.48	0.000010707344304002016
791.04	0.000010815103710398094
793.6	0.000010731832938609427
796.16	0.000010826543710303445
798.72	0.000010841061825813519
801.28	0.000010588934903945722
